CncChannelListType_CncChannel_ActProgramLine_ValuePrecision,15134,Variable
CncChannelListType_CncChannel_ActProgramName,15135,Variable
CncChannelListType_CncChannel_ActProgramName_Definition,15136,Variable
CncChannelListType_CncChannel_ActProgramName_ValuePrecision,15137,Variable
CncChannelListType_CncChannel_ActProgramStatus,15138,Variable
CncChannelListType_CncChannel_ActProgramStatus_Definition,15139,Variable
CncChannelListType_CncChannel_ActProgramStatus_ValuePrecision,15140,Variable
CncChannelListType_CncChannel_ActStatus,15141,Variable
CncChannelListType_CncChannel_ActStatus_Definition,15142,Variable
CncChannelListType_CncChannel_ActStatus_ValuePrecision,15143,Variable
CncChannelListType_CncChannel_BlockMode,15144,Variable
CncChannelListType_CncChannel_BlockMode_Definition,15145,Variable
CncChannelListType_CncChannel_BlockMode_ValuePrecision,15146,Variable
CncChannelListType_CncChannel_CmdFeedrate,15147,Variable
CncChannelListType_CncChannel_CmdFeedrate_Definition,15148,Variable
CncChannelListType_CncChannel_CmdFeedrate_ValuePrecision,15149,Variable
CncChannelListType_CncChannel_CmdFeedrate_InstrumentRange,15150,Variable
CncChannelListType_CncChannel_CmdFeedrate_EURange,15151,Variable
CncChannelListType_CncChannel_CmdFeedrate_EngineeringUnits,15152,Variable
CncChannelListType_CncChannel_CmdOverride,15153,Variable
CncChannelListType_CncChannel_CmdOverride_Definition,15154,Variable
CncChannelListType_CncChannel_CmdOverride_ValuePrecision,15155,Variable
CncChannelListType_CncChannel_CmdOverride_InstrumentRange,15156,Variable
CncChannelListType_CncChannel_CmdOverride_EURange,15157,Variable
CncChannelListType_CncChannel_CmdOverride_EngineeringUnits,15158,Variable
CncChannelListType_CncChannel_DryRunFeed,15159,Variable
CncChannelListType_CncChannel_DryRunFeed_Definition,15160,Variable
CncChannelListType_CncChannel_DryRunFeed_ValuePrecision,15161,Variable
CncChannelListType_CncChannel_DryRunFeed_InstrumentRange,15162,Variable
CncChannelListType_CncChannel_DryRunFeed_EURange,15163,Variable
CncChannelListType_CncChannel_DryRunFeed_EngineeringUnits,15164,Variable
CncChannelListType_CncChannel_FeedHold,15165,Variable
CncChannelListType_CncChannel_FeedHold_Definition,15166,Variable
CncChannelListType_CncChannel_FeedHold_ValuePrecision,15167,Variable
CncChannelListType_CncChannel_PodTcpBcsX,15168,Variable
CncChannelListType_CncChannel_PodTcpBcsY,15169,Variable
CncChannelListType_CncChannel_PodTcpWcsX,15170,Variable
CncChannelListType_CncChannel_PodTcpWcsY,15171,Variable
CncInterfaceType_CncAxisList,15172,Object
CncInterfaceType_CncTypeName,15173,Variable
CncInterfaceType_Fix,15174,Variable
CncInterfaceType_VendorName,15175,Variable
CncInterfaceType_VendorRevision,15176,Variable
CncInterfaceType_Version,15177,Variable
CncInterface,15178,Object
CncInterface_CncAxisList,15179,Object
CncInterface_CncTypeName,15180,Variable
CncInterface_Fix,15181,Variable
CncInterface_VendorName,15182,Variable
CncInterface_VendorRevision,15183,Variable
CncInterface_Version,15184,Variable
CncPositionDataType_Encoding_DefaultBinary,15185,Object
CncAxisStatus,15186,DataType
CncAxisStatus_EnumStrings,15187,Variable
CncChannelStatus,15188,DataType
CncChannelStatus_EnumStrings,15189,Variable
CncChannelProgramStatus,15190,DataType
CncChannelProgramStatus_EnumStrings,15191,Variable
CncOperationMode,15192,DataType
CncPositionDataType_Encoding_DefaultXml,15193,Object
CncOperationMode_EnumStrings,15194,Variable
CncPositionVariableType_EnginneringUnits,15195,Variable
CncPositionVariableType_EURange,15196,Variable
CncAlarmType,15197,ObjectType
CncAlarmType_EventId,15198,Variable
CncAlarmType_EventType,15199,Variable
CncAlarmType_SourceNode,15200,Variable
CncPositionDataType_Encoding_DefaultJson,15201,Object
CncDriveType_ActLoad,15202,Variable
CncDriveType_ActLoad_Definition,15203,Variable
CncDriveType_ActLoad_ValuePrecision,15204,Variable
CncDriveType_ActLoad_InstrumentRange,15205,Variable
CncDriveType_ActLoad_EURange,15206,Variable
CncDriveType_ActLoad_EngineeringUnits,15207,Variable
CncDriveType_ActPower,15208,Variable
CncDriveType_ActPower_Definition,15209,Variable
CncDriveType_ActPower_ValuePrecision,15210,Variable
CncDriveType_ActPower_InstrumentRange,15211,Variable
CncDriveType_ActPower_EURange,15212,Variable
CncDriveType_ActPower_EngineeringUnits,15213,Variable
CncDriveType_ActTorque,15214,Variable
CncDriveType_ActTorque_Definition,15215,Variable
CncDriveType_ActTorque_ValuePrecision,15216,Variable
CncDriveType_ActTorque_InstrumentRange,15217,Variable
CncDriveType_ActTorque_EURange,15218,Variable
CncDriveType_ActTorque_EngineeringUnits,15219,Variable
CncDriveType_CmdTorque,15220,Variable
CncDriveType_CmdTorque_Definition,15221,Variable
CncDriveType_CmdTorque_ValuePrecision,15222,Variable
CncDriveType_CmdTorque_InstrumentRange,15223,Variable
CncDriveType_CmdTorque_EURange,15224,Variable
CncDriveType_CmdTorque_EngineeringUnits,15225,Variable
CncDriveType_IsInactive,15226,Variable
CncDriveType_IsInactive_Definition,15227,Variable
CncDriveType_IsInactive_ValuePrecision,15228,Variable
CncDriveType_IsVirtual,15229,Variable
CncDriveType_IsVirtual_Definition,15230,Variable
CncDriveType_IsVirtual_ValuePrecision,15231,Variable
CncInterfaceType_CncChannelList,15232,Object
CncInterface_CncChannelList,15233,Object
CNC_BinarySchema,15234,Variable
CNC_BinarySchema_DataTypeVersion,15235,Variable
CNC_BinarySchema_NamespaceUri,15236,Variable
CNC_BinarySchema_Deprecated,15237,Variable
CNC_BinarySchema_CncPositionDataType,15238,Variable
CNC_BinarySchema_CncPositionDataType_DataTypeVersion,15239,Variable
CNC_BinarySchema_CncPositionDataType_DictionaryFragment,15240,Variable
CNC_XmlSchema,15241,Variable
CNC_XmlSchema_DataTypeVersion,15242,Variable
CNC_XmlSchema_NamespaceUri,15243,Variable
CNC_XmlSchema_Deprecated,15244,Variable
CNC_XmlSchema_CncPositionDataType,15245,Variable
CNC_XmlSchema_CncPositionDataType_DataTypeVersion,15246,Variable
CNC_XmlSchema_CncPositionDataType_DictionaryFragment,15247,Variable
CncAlarmType_SourceName,15248,Variable
CncAlarmType_Time,15249,Variable
CncAlarmType_ReceiveTime,15250,Variable
CncAlarmType_LocalTime,15251,Variable
CncAlarmType_Message,15252,Variable
CncAlarmType_Severity,15253,Variable
CncAlarmType_ConditionClassId,15254,Variable
CncAlarmType_ConditionClassName,15255,Variable
CncAlarmType_ConditionSubClassId,15256,Variable
CncAlarmType_ConditionSubClassName,15257,Variable
CncAlarmType_ConditionName,15258,Variable
CncAlarmType_BranchId,15259,Variable
CncAlarmType_Retain,15260,Variable
CncAlarmType_EnabledState,15261,Variable
CncAlarmType_EnabledState_Id,15262,Variable
CncAlarmType_EnabledState_Name,15263,Variable
CncAlarmType_EnabledState_Number,15264,Variable
